Order 0	number of articles 19
0	Aisle 13	Location 20
1	Aisle 15	Location 3
2	Aisle 12	Location 0
3	Aisle 1	Location 28
4	Aisle 19	Location 43
5	Aisle 1	Location 12
6	Aisle 1	Location 3
7	Aisle 1	Location 39
8	Aisle 1	Location 40
9	Aisle 18	Location 19
10	Aisle 13	Location 24
11	Aisle 0	Location 13
12	Aisle 1	Location 22
13	Aisle 0	Location 19
14	Aisle 1	Location 30
15	Aisle 10	Location 21
16	Aisle 1	Location 15
17	Aisle 19	Location 9
18	Aisle 12	Location 37
Order 1	number of articles 19
0	Aisle 18	Location 38
1	Aisle 0	Location 36
2	Aisle 17	Location 33
3	Aisle 1	Location 34
4	Aisle 0	Location 18
5	Aisle 1	Location 17
6	Aisle 1	Location 42
7	Aisle 13	Location 37
8	Aisle 6	Location 2
9	Aisle 1	Location 43
10	Aisle 11	Location 33
11	Aisle 1	Location 3
12	Aisle 15	Location 10
13	Aisle 1	Location 15
14	Aisle 0	Location 5
15	Aisle 18	Location 8
16	Aisle 17	Location 30
17	Aisle 1	Location 2
18	Aisle 10	Location 21
Order 2	number of articles 9
0	Aisle 18	Location 24
1	Aisle 8	Location 7
2	Aisle 13	Location 33
3	Aisle 1	Location 9
4	Aisle 14	Location 12
5	Aisle 1	Location 34
6	Aisle 0	Location 32
7	Aisle 12	Location 38
8	Aisle 8	Location 15
Order 3	number of articles 24
0	Aisle 0	Location 3
1	Aisle 6	Location 38
2	Aisle 1	Location 35
3	Aisle 11	Location 43
4	Aisle 0	Location 36
5	Aisle 13	Location 31
6	Aisle 17	Location 17
7	Aisle 1	Location 31
8	Aisle 13	Location 26
9	Aisle 6	Location 37
10	Aisle 19	Location 26
11	Aisle 0	Location 38
12	Aisle 0	Location 19
13	Aisle 1	Location 19
14	Aisle 9	Location 31
15	Aisle 1	Location 5
16	Aisle 0	Location 41
17	Aisle 18	Location 43
18	Aisle 14	Location 25
19	Aisle 1	Location 17
20	Aisle 0	Location 15
21	Aisle 15	Location 1
22	Aisle 19	Location 41
23	Aisle 6	Location 35
Order 4	number of articles 22
0	Aisle 19	Location 7
1	Aisle 0	Location 16
2	Aisle 19	Location 18
3	Aisle 1	Location 19
4	Aisle 1	Location 42
5	Aisle 7	Location 7
6	Aisle 0	Location 26
7	Aisle 1	Location 9
8	Aisle 0	Location 43
9	Aisle 9	Location 4
10	Aisle 17	Location 20
11	Aisle 1	Location 44
12	Aisle 0	Location 42
13	Aisle 0	Location 17
14	Aisle 1	Location 39
15	Aisle 15	Location 38
