Order 0	number of articles 14
0	Aisle 8	Location 11
1	Aisle 1	Location 5
2	Aisle 1	Location 43
3	Aisle 1	Location 27
4	Aisle 1	Location 2
5	Aisle 7	Location 27
6	Aisle 10	Location 31
7	Aisle 15	Location 21
8	Aisle 1	Location 8
9	Aisle 15	Location 44
10	Aisle 1	Location 28
11	Aisle 1	Location 44
12	Aisle 1	Location 13
13	Aisle 0	Location 35
Order 1	number of articles 20
0	Aisle 0	Location 37
1	Aisle 13	Location 32
2	Aisle 0	Location 39
3	Aisle 7	Location 20
4	Aisle 1	Location 11
5	Aisle 1	Location 29
6	Aisle 0	Location 13
7	Aisle 15	Location 32
8	Aisle 10	Location 0
9	Aisle 0	Location 24
10	Aisle 1	Location 1
11	Aisle 1	Location 39
12	Aisle 9	Location 39
13	Aisle 0	Location 14
14	Aisle 0	Location 6
15	Aisle 17	Location 14
16	Aisle 0	Location 4
17	Aisle 6	Location 16
18	Aisle 12	Location 12
19	Aisle 1	Location 42
Order 2	number of articles 23
0	Aisle 18	Location 8
1	Aisle 8	Location 41
2	Aisle 0	Location 44
3	Aisle 1	Location 29
4	Aisle 0	Location 6
5	Aisle 16	Location 33
6	Aisle 1	Location 28
7	Aisle 8	Location 35
8	Aisle 17	Location 22
9	Aisle 19	Location 31
10	Aisle 0	Location 15
11	Aisle 18	Location 19
12	Aisle 1	Location 21
13	Aisle 1	Location 20
14	Aisle 7	Location 6
15	Aisle 0	Location 11
16	Aisle 10	Location 22
17	Aisle 0	Location 20
18	Aisle 18	Location 21
19	Aisle 7	Location 3
20	Aisle 1	Location 5
21	Aisle 1	Location 6
22	Aisle 0	Location 40
Order 3	number of articles 20
0	Aisle 10	Location 2
1	Aisle 0	Location 13
2	Aisle 0	Location 26
3	Aisle 16	Location 14
4	Aisle 6	Location 32
5	Aisle 0	Location 9
6	Aisle 1	Location 3
7	Aisle 1	Location 1
8	Aisle 15	Location 12
9	Aisle 10	Location 43
10	Aisle 0	Location 25
11	Aisle 7	Location 38
12	Aisle 1	Location 11
13	Aisle 16	Location 26
14	Aisle 1	Location 39
15	Aisle 0	Location 12
16	Aisle 0	Location 18
17	Aisle 0	Location 21
18	Aisle 17	Location 8
19	Aisle 1	Location 38
Order 4	number of articles 22
0	Aisle 0	Location 22
1	Aisle 0	Location 14
2	Aisle 17	Location 29
3	Aisle 17	Location 41
4	Aisle 0	Location 11
5	Aisle 17	Location 27
6	Aisle 0	Location 36
7	Aisle 0	Location 7
8	Aisle 1	Location 8
9	Aisle 0	Location 30
10	Aisle 1	Location 31
11	Aisle 1	Location 22
12	Aisle 10	Location 29
13	Aisle 12	Location 9
14	Aisle 0	Location 35
15	Aisle 15	Location 13
16	Aisle 13	Location 11
17	Aisle 0	Location 8
18	Aisle 19	Location 3
19	Aisle 0	Location 34
20	Aisle 9	Location 7
21	Aisle 1	Location 2
Order 5	number of articles 22
0	Aisle 0	Location 27
1	Aisle 0	Location 23
2	Aisle 1	Location 28
3	Aisle 13	Location 23
4	Aisle 19	Location 39
5	Aisle 0	Location 14
6	Aisle 0	Location 7
7	Aisle 1	Location 44
8	Aisle 1	Location 33
9	Aisle 1	Location 9
10	Aisle 16	Location 6
11	Aisle 0	Location 24
12	Aisle 8	Location 37
13	Aisle 0	Location 3
14	Aisle 1	Location 32
15	Aisle 19	Location 20
16	Aisle 14	Location 7
17	Aisle 0	Location 13
18	Aisle 14	Location 33
19	Aisle 19	Location 18
20	Aisle 6	Location 41
21	Aisle 19	Location 42
Order 6	number of articles 10
0	Aisle 13	Location 32
1	Aisle 0	Location 21
2	Aisle 6	Location 28
3	Aisle 13	Location 30
4	Aisle 13	Location 16
5	Aisle 1	Location 17
6	Aisle 0	Location 29
7	Aisle 14	Location 36
8	Aisle 1	Location 34
9	Aisle 13	Location 11
Order 7	number of articles 6
0	Aisle 8	Location 23
1	Aisle 0	Location 6
2	Aisle 9	Location 44
3	Aisle 11	Location 4
4	Aisle 6	Location 34
5	Aisle 0	Location 41
Order 8	number of articles 15
0	Aisle 9	Location 14
1	Aisle 11	Location 32
2	Aisle 18	Location 32
3	Aisle 0	Location 6
4	Aisle 17	Location 27
5	Aisle 1	Location 10
6	Aisle 10	Location 25
7	Aisle 16	Location 11
8	Aisle 1	Location 25
9	Aisle 0	Location 8
10	Aisle 8	Location 34
11	Aisle 0	Location 14
12	Aisle 10	Location 40
13	Aisle 12	Location 32
14	Aisle 13	Location 8
Order 9	number of articles 7
0	Aisle 0	Location 25
1	Aisle 1	Location 13
2	Aisle 13	Location 6
3	Aisle 16	Location 15
4	Aisle 0	Location 3
5	Aisle 0	Location 43
6	Aisle 1	Location 10
Order 10	number of articles 5
0	Aisle 6	Location 43
1	Aisle 19	Location 43
2	Aisle 15	Location 19
3	Aisle 16	Location 29
4	Aisle 1	Location 36
Order 11	number of articles 6
0	Aisle 1	Location 4
1	Aisle 0	Location 6
2	Aisle 1	Location 25
3	Aisle 8	Location 5
