Order 0	number of articles 23
0	Aisle 11	Location 37
1	Aisle 3	Location 4
2	Aisle 6	Location 38
3	Aisle 18	Location 44
4	Aisle 15	Location 37
5	Aisle 6	Location 8
6	Aisle 14	Location 12
7	Aisle 16	Location 42
8	Aisle 18	Location 4
9	Aisle 9	Location 30
10	Aisle 17	Location 21
11	Aisle 0	Location 11
12	Aisle 12	Location 9
13	Aisle 10	Location 20
14	Aisle 16	Location 44
15	Aisle 17	Location 4
16	Aisle 17	Location 41
17	Aisle 12	Location 2
18	Aisle 12	Location 17
19	Aisle 10	Location 30
20	Aisle 0	Location 24
21	Aisle 6	Location 19
22	Aisle 2	Location 23
Order 1	number of articles 18
0	Aisle 12	Location 36
1	Aisle 15	Location 16
2	Aisle 12	Location 6
3	Aisle 0	Location 14
4	Aisle 16	Location 19
5	Aisle 14	Location 27
6	Aisle 17	Location 38
7	Aisle 9	Location 8
8	Aisle 7	Location 31
9	Aisle 7	Location 8
10	Aisle 6	Location 4
11	Aisle 18	Location 42
12	Aisle 4	Location 13
13	Aisle 5	Location 32
14	Aisle 9	Location 36
15	Aisle 8	Location 25
16	Aisle 1	Location 3
17	Aisle 10	Location 11
Order 2	number of articles 23
0	Aisle 1	Location 8
1	Aisle 18	Location 37
2	Aisle 14	Location 12
3	Aisle 4	Location 22
4	Aisle 1	Location 23
5	Aisle 8	Location 28
6	Aisle 4	Location 2
7	Aisle 3	Location 43
8	Aisle 9	Location 0
9	Aisle 14	Location 26
10	Aisle 2	Location 27
11	Aisle 0	Location 15
12	Aisle 18	Location 34
13	Aisle 1	Location 17
14	Aisle 6	Location 38
15	Aisle 15	Location 22
16	Aisle 9	Location 35
17	Aisle 19	Location 32
18	Aisle 1	Location 44
19	Aisle 16	Location 3
20	Aisle 1	Location 36
21	Aisle 6	Location 28
22	Aisle 14	Location 42
Order 3	number of articles 16
0	Aisle 17	Location 5
1	Aisle 4	Location 0
2	Aisle 17	Location 0
3	Aisle 4	Location 8
4	Aisle 9	Location 30
5	Aisle 19	Location 44
6	Aisle 18	Location 28
7	Aisle 3	Location 7
8	Aisle 8	Location 0
9	Aisle 18	Location 36
10	Aisle 0	Location 23
11	Aisle 14	Location 10
12	Aisle 0	Location 32
13	Aisle 9	Location 20
14	Aisle 5	Location 37
15	Aisle 10	Location 16
Order 4	number of articles 23
0	Aisle 10	Location 30
1	Aisle 3	Location 15
2	Aisle 14	Location 6
3	Aisle 15	Location 10
4	Aisle 19	Location 43
5	Aisle 1	Location 33
6	Aisle 13	Location 43
7	Aisle 0	Location 41
8	Aisle 2	Location 17
9	Aisle 7	Location 0
10	Aisle 6	Location 22
11	Aisle 12	Location 32
12	Aisle 3	Location 10
13	Aisle 1	Location 25
14	Aisle 18	Location 35
15	Aisle 4	Location 22
16	Aisle 12	Location 39
17	Aisle 17	Location 16
18	Aisle 11	Location 30
19	Aisle 19	Location 30
20	Aisle 5	Location 34
21	Aisle 12	Location 9
22	Aisle 5	Location 21
Order 5	number of articles 20
0	Aisle 7	Location 9
1	Aisle 4	Location 38
2	Aisle 10	Location 9
3	Aisle 0	Location 27
4	Aisle 12	Location 41
5	Aisle 4	Location 39
6	Aisle 6	Location 29
7	Aisle 2	Location 15
8	Aisle 7	Location 27
9	Aisle 9	Location 16
10	Aisle 14	Location 37
11	Aisle 8	Location 21
12	Aisle 2	Location 31
13	Aisle 14	Location 29
14	Aisle 17	Location 30
15	Aisle 15	Location 32
16	Aisle 0	Location 42
17	Aisle 14	Location 6
18	Aisle 14	Location 39
19	Aisle 10	Location 25
Order 6	number of articles 20
0	Aisle 18	Location 18
1	Aisle 17	Location 20
2	Aisle 6	Location 8
3	Aisle 14	Location 6
4	Aisle 8	Location 27
5	Aisle 2	Location 41
6	Aisle 6	Location 21
7	Aisle 12	Location 1
8	Aisle 5	Location 23
9	Aisle 5	Location 24
10	Aisle 16	Location 10
11	Aisle 4	Location 20
12	Aisle 10	Location 7
13	Aisle 9	Location 8
14	Aisle 16	Location 37
15	Aisle 11	Location 26
16	Aisle 11	Location 15
17	Aisle 19	Location 32
18	Aisle 6	Location 10
19	Aisle 10	Location 17
Order 7	number of articles 21
0	Aisle 0	Location 12
1	Aisle 4	Location 36
2	Aisle 0	Location 15
3	Aisle 4	Location 8
4	Aisle 15	Location 29
5	Aisle 12	Location 15
6	Aisle 9	Location 37
7	Aisle 17	Location 38
8	Aisle 12	Location 40
9	Aisle 10	Location 16
10	Aisle 17	Location 41
11	Aisle 13	Location 41
12	Aisle 19	Location 19
13	Aisle 0	Location 8
14	Aisle 2	Location 32
15	Aisle 19	Location 39
16	Aisle 8	Location 13
17	Aisle 15	Location 24
18	Aisle 7	Location 20
19	Aisle 4	Location 22
20	Aisle 7	Location 35
Order 8	number of articles 15
0	Aisle 15	Location 14
1	Aisle 4	Location 13
2	Aisle 14	Location 41
3	Aisle 8	Location 20
4	Aisle 5	Location 2
5	Aisle 8	Location 9
6	Aisle 3	Location 2
7	Aisle 5	Location 6
8	Aisle 3	Location 23
9	Aisle 18	Location 24
10	Aisle 12	Location 32
11	Aisle 12	Location 1
12	Aisle 17	Location 15
13	Aisle 5	Location 21
14	Aisle 14	Location 37
Order 9	number of articles 6
0	Aisle 17	Location 17
1	Aisle 11	Location 30
2	Aisle 3	Location 29
3	Aisle 18	Location 15
4	Aisle 6	Location 27
5	Aisle 5	Location 10
Order 10	number of articles 9
0	Aisle 16	Location 0
1	Aisle 0	Location 34
2	Aisle 0	Location 16
3	Aisle 5	Location 9
4	Aisle 1	Location 32
5	Aisle 11	Location 20
6	Aisle 14	Location 8
7	Aisle 2	Location 25
8	Aisle 18	Location 33
Order 11	number of articles 20
0	Aisle 15	Location 10
1	Aisle 17	Location 30
2	Aisle 7	Location 39
3	Aisle 8	Location 4
4	Aisle 17	Location 3
5	Aisle 17	Location 23
6	Aisle 19	Location 13
7	Aisle 12	Location 23
8	Aisle 12	Location 28
9	Aisle 7	Location 19
10	Aisle 15	Location 20
11	Aisle 15	Location 32
12	Aisle 10	Location 39
13	Aisle 3	Location 32
14	Aisle 4	Location 23
15	Aisle 17	Location 40
16	Aisle 13	Location 28
17	Aisle 18	Location 40
18	Aisle 2	Location 21
19	Aisle 18	Location 0
Order 12	number of articles 18
0	Aisle 19	Location 1
1	Aisle 9	Location 8
2	Aisle 4	Location 16
3	Aisle 12	Location 33
4	Aisle 0	Location 22
5	Aisle 10	Location 31
6	Aisle 16	Location 30
7	Aisle 8	Location 35
8	Aisle 4	Location 15
9	Aisle 10	Location 19
10	Aisle 13	Location 6
11	Aisle 15	Location 44
12	Aisle 19	Location 43
13	Aisle 14	Location 0
14	Aisle 19	Location 12
15	Aisle 9	Location 10
16	Aisle 2	Location 33
17	Aisle 2	Location 28
Order 13	number of articles 14
0	Aisle 16	Location 4
1	Aisle 9	Location 26
2	Aisle 6	Location 17
3	Aisle 0	Location 39
4	Aisle 14	Location 12
5	Aisle 18	Location 1
6	Aisle 11	Location 30
7	Aisle 1	Location 8
8	Aisle 16	Location 9
9	Aisle 5	Location 25
10	Aisle 1	Location 18
11	Aisle 3	Location 11
12	Aisle 5	Location 44
13	Aisle 4	Location 24
Order 14	number of articles 11
0	Aisle 8	Location 6
1	Aisle 4	Location 8
2	Aisle 17	Location 8
3	Aisle 7	Location 18
4	Aisle 13	Location 19
5	Aisle 7	Location 44
6	Aisle 7	Location 37
7	Aisle 2	Location 30
8	Aisle 2	Location 37
9	Aisle 12	Location 7
10	Aisle 14	Location 8
Order 15	number of articles 15
0	Aisle 13	Location 18
1	Aisle 12	Location 21
2	Aisle 0	Location 40
3	Aisle 5	Location 31
4	Aisle 12	Location 42
5	Aisle 19	Location 31
6	Aisle 6	Location 5
7	Aisle 11	Location 38
8	Aisle 3	Location 3
9	Aisle 11	Location 43
10	Aisle 4	Location 27
11	Aisle 16	Location 42
12	Aisle 8	Location 42
13	Aisle 8	Location 1
14	Aisle 6	Location 24
Order 16	number of articles 9
0	Aisle 12	Location 32
1	Aisle 10	Location 40
2	Aisle 0	Location 8
3	Aisle 7	Location 25
4	Aisle 14	Location 9
5	Aisle 8	Location 7
6	Aisle 7	Location 14
7	Aisle 11	Location 11
8	Aisle 19	Location 4
Order 17	number of articles 22
0	Aisle 0	Location 39
1	Aisle 15	Location 34
2	Aisle 2	Location 15
3	Aisle 2	Location 13
4	Aisle 13	Location 6
5	Aisle 8	Location 1
6	Aisle 10	Location 9
7	Aisle 4	Location 35
8	Aisle 3	Location 16
9	Aisle 10	Location 32
10	Aisle 1	Location 10
11	Aisle 5	Location 27
12	Aisle 16	Location 15
13	Aisle 16	Location 20
14	Aisle 4	Location 31
15	Aisle 17	Location 6
16	Aisle 8	Location 20
17	Aisle 3	Location 30
18	Aisle 13	Location 14
19	Aisle 5	Location 36
20	Aisle 17	Location 20
21	Aisle 19	Location 27
Order 18	number of articles 20
0	Aisle 2	Location 38
1	Aisle 16	Location 0
2	Aisle 16	Location 29
3	Aisle 18	Location 25
4	Aisle 18	Location 34
5	Aisle 1	Location 21
6	Aisle 0	Location 9
7	Aisle 5	Location 1
8	Aisle 19	Location 44
9	Aisle 18	Location 16
10	Aisle 2	Location 39
11	Aisle 14	Location 14
12	Aisle 8	Location 37
13	Aisle 17	Location 0
14	Aisle 9	Location 26
15	Aisle 19	Location 40
16	Aisle 6	Location 15
17	Aisle 9	Location 12
18	Aisle 13	Location 11
19	Aisle 11	Location 18
Order 19	number of articles 5
0	Aisle 7	Location 0
1	Aisle 0	Location 32
2	Aisle 8	Location 37
3	Aisle 16	Location 18
4	Aisle 0	Location 3
