Order 0	number of articles 19
0	Aisle 17	Location 9
1	Aisle 10	Location 42
2	Aisle 18	Location 20
3	Aisle 18	Location 0
4	Aisle 9	Location 26
5	Aisle 19	Location 23
6	Aisle 15	Location 12
7	Aisle 2	Location 32
8	Aisle 10	Location 0
9	Aisle 18	Location 31
10	Aisle 5	Location 14
11	Aisle 3	Location 31
12	Aisle 15	Location 11
13	Aisle 5	Location 33
14	Aisle 15	Location 5
15	Aisle 14	Location 6
16	Aisle 7	Location 30
17	Aisle 9	Location 6
18	Aisle 12	Location 0
Order 1	number of articles 9
0	Aisle 9	Location 7
1	Aisle 18	Location 28
2	Aisle 9	Location 43
3	Aisle 8	Location 20
4	Aisle 10	Location 34
5	Aisle 9	Location 42
6	Aisle 2	Location 30
7	Aisle 6	Location 20
8	Aisle 0	Location 25
Order 2	number of articles 15
0	Aisle 10	Location 8
1	Aisle 1	Location 5
2	Aisle 6	Location 43
3	Aisle 19	Location 24
4	Aisle 5	Location 43
5	Aisle 5	Location 24
6	Aisle 17	Location 33
7	Aisle 14	Location 2
8	Aisle 0	Location 5
9	Aisle 18	Location 21
10	Aisle 11	Location 20
11	Aisle 4	Location 35
12	Aisle 9	Location 16
13	Aisle 8	Location 1
14	Aisle 7	Location 1
Order 3	number of articles 8
0	Aisle 19	Location 18
1	Aisle 3	Location 25
2	Aisle 3	Location 40
3	Aisle 1	Location 23
4	Aisle 0	Location 40
5	Aisle 6	Location 11
6	Aisle 19	Location 42
7	Aisle 6	Location 32
Order 4	number of articles 13
0	Aisle 2	Location 7
1	Aisle 14	Location 28
2	Aisle 3	Location 39
3	Aisle 16	Location 31
4	Aisle 3	Location 9
5	Aisle 19	Location 41
6	Aisle 8	Location 13
7	Aisle 13	Location 23
8	Aisle 17	Location 38
9	Aisle 4	Location 10
10	Aisle 6	Location 20
11	Aisle 14	Location 5
12	Aisle 12	Location 10
Order 5	number of articles 15
0	Aisle 3	Location 1
1	Aisle 15	Location 44
2	Aisle 13	Location 40
3	Aisle 11	Location 33
4	Aisle 8	Location 38
5	Aisle 7	Location 7
6	Aisle 5	Location 2
7	Aisle 2	Location 4
8	Aisle 5	Location 5
9	Aisle 17	Location 19
10	Aisle 11	Location 17
11	Aisle 16	Location 2
12	Aisle 6	Location 4
13	Aisle 11	Location 28
14	Aisle 14	Location 13
Order 6	number of articles 22
0	Aisle 8	Location 42
1	Aisle 10	Location 16
2	Aisle 19	Location 17
3	Aisle 14	Location 7
4	Aisle 17	Location 4
5	Aisle 8	Location 7
6	Aisle 12	Location 5
7	Aisle 9	Location 31
8	Aisle 1	Location 36
9	Aisle 9	Location 43
10	Aisle 16	Location 26
11	Aisle 17	Location 8
12	Aisle 18	Location 10
13	Aisle 16	Location 6
14	Aisle 15	Location 0
15	Aisle 12	Location 28
16	Aisle 3	Location 25
17	Aisle 5	Location 23
